data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;negativizzati_ricoverati;dimessi_guariti;deceduti
2020-03-10T08:00:00;Rovigo;Ospedale Trecenta *;0;0;0;0;0
2020-03-10T08:00:00;Rovigo;Ospedale Adria;0;0;0;0;0
2020-03-10T08:00:00;Padova;Ospedale di Comunita' Camposampiero;0;0;0;0;0
2020-03-10T08:00:00;Vicenza;Ospedale di Comunita' Marostica;0;0;0;0;0
2020-03-10T08:00:00;Padova;Ospedale Schiavonia *;0;0;0;0;1
2020-03-10T08:00:00;Padova;Ospedale Piove di Sacco;4;1;0;0;0
2020-03-10T08:00:00;Padova;Ospedale Cittadella;0;0;0;0;0
2020-03-10T08:00:00;Padova;Ospedale Camposampiero;0;0;0;0;0
2020-03-10T08:00:00;Padova;Ospedale Conselve;0;0;0;0;0
2020-03-10T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0;0
2020-03-10T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0;0
2020-03-10T08:00:00;Vicenza;Ospedale Santorso *;2;0;0;4;0
2020-03-10T08:00:00;Vicenza;Ospedale Bassano;1;0;0;0;0
2020-03-10T08:00:00;Vicenza;Ospedale Asiago;0;0;0;0;0
2020-03-10T08:00:00;Vicenza;Ospedale Vicenza;7;8;0;5;0
2020-03-10T08:00:00;Vicenza;Ospedale Noventa Vicentina;0;0;0;0;0
2020-03-10T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0;0
2020-03-10T08:00:00;Vicenza;Ospedale Valdagno;0;0;0;0;0
2020-03-10T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0;0
2020-03-10T08:00:00;Verona;Ospedale Legnago;5;3;0;0;0
2020-03-10T08:00:00;Verona;Ospedale San Bonifacio;0;0;0;0;0
2020-03-10T08:00:00;Verona;Ospedale Villafranca *;3;0;0;0;0
2020-03-10T08:00:00;Verona;Ospedale Marzana;0;0;0;0;0
2020-03-10T08:00:00;Verona;Ospedale Bussolengo;0;0;0;0;0
2020-03-10T08:00:00;Verona;Ospedale Bovolone;0;0;0;0;0
2020-03-10T08:00:00;Verona;Ospedale Malcesine;0;0;0;0;0
2020-03-10T08:00:00;Padova;IRCCS - IOV;0;0;0;0;0
2020-03-10T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;7;1;0;0;0
2020-03-10T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;0;0;0;0;0
2020-03-10T08:00:00;Treviso;Centro Servizi Civitas Vitae - Vedelago;0;0;0;0;0
2020-03-10T08:00:00;Treviso;Centro Servizi Casa Luigi e Augusta - Ormelle;0;0;0;0;0
2020-03-10T08:00:00;Venezia;Ospedale di Comunita' SS. Giovanni e Paolo;0;0;0;0;0
2020-03-10T08:00:00;Treviso;Ospedale di Comunita' Vittorio Veneto;0;0;0;0;0
2020-03-11T08:00:00;Padova;Azienda Ospedale Universita' di Padova;42;15;0;31;5
2020-03-11T08:00:00;Padova;Azienda Ospedale Universita' di Padova - Ospedale S. Antonio;0;0;0;0;0
2020-03-11T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;19;3;0;3;2
2020-03-11T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;0;1;0;0;0
2020-03-11T08:00:00;Belluno;Ospedale Belluno;8;0;0;0;0
2020-03-11T08:00:00;Belluno;Ospedale di Comunita' Belluno;0;0;0;0;0
2020-03-11T08:00:00;Belluno;Ospedale Feltre;1;0;0;0;0
2020-03-11T08:00:00;Belluno;Ospedale Agordo;0;0;0;0;0
2020-03-11T08:00:00;Treviso;Ospedale Treviso;70;7;0;5;14
2020-03-11T08:00:00;Treviso;Ospedale Oderzo;0;0;0;0;0
2020-03-11T08:00:00;Treviso;Ospedale Conegliano;4;8;0;0;0
2020-03-11T08:00:00;Treviso;Ospedale Vittorio Veneto *;4;0;0;0;0
2020-03-11T08:00:00;Treviso;Ospedale Castelfranco;5;0;0;0;1
2020-03-11T08:00:00;Treviso;Ospedale Montebelluna;0;0;0;0;0
2020-03-11T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;0;0;0;0;0
2020-03-11T08:00:00;Venezia;Ospedale Mestre;19;11;0;1;4
2020-03-11T08:00:00;Venezia;Ospedale Venezia;8;3;0;2;1
2020-03-11T08:00:00;Venezia;Ospedale Mirano;5;5;0;0;0
2020-03-11T08:00:00;Venezia;Ospedale Dolo *;2;0;0;0;0
2020-03-11T08:00:00;Venezia;Ospedale Chioggia;1;0;0;0;1
2020-03-11T08:00:00;Venezia;Ospedale Villa Salus-Mestre *;0;0;0;0;0
2020-03-11T08:00:00;Venezia;Casa di cura Policlinico San Marco Mestre;0;0;0;0;0
2020-03-11T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0;0
2020-03-11T08:00:00;Venezia;Ospedale Jesolo *;1;0;0;0;0
2020-03-11T08:00:00;Venezia;Ospedale Portogruaro;0;0;0;0;0
2020-03-11T08:00:00;Venezia;Casa di Cura Rizzola;0;0;0;0;0
2020-03-11T08:00:00;Venezia;Casa di Cura Rizzola OdC;0;0;0;0;0
2020-03-11T08:00:00;Rovigo;Ospedale Rovigo;4;1;0;3;0
2020-03-11T08:00:00;Rovigo;Ospedale Trecenta *;0;0;0;0;0
2020-03-11T08:00:00;Rovigo;Ospedale Adria;0;0;0;0;0
2020-03-11T08:00:00;Padova;Ospedale di Comunita' Camposampiero;0;0;0;0;0
2020-03-11T08:00:00;Vicenza;Ospedale di Comunita' Marostica;0;0;0;0;0
2020-03-11T08:00:00;Padova;Ospedale Schiavonia *;21;1;0;0;1
2020-03-11T08:00:00;Padova;Ospedale Piove di Sacco;4;1;0;0;0
2020-03-11T08:00:00;Padova;Ospedale Cittadella;4;0;0;0;0
2020-03-11T08:00:00;Padova;Ospedale Camposampiero;0;0;0;0;0
2020-03-11T08:00:00;Padova;Ospedale Conselve;0;0;0;0;0
2020-03-11T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0;0
2020-03-11T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0;0
2020-03-11T08:00:00;Vicenza;Ospedale Santorso *;6;0;0;4;0
2020-03-11T08:00:00;Vicenza;Ospedale Bassano;2;0;0;0;0
2020-03-11T08:00:00;Vicenza;Ospedale Asiago;0;0;0;0;0
2020-03-11T08:00:00;Vicenza;Ospedale Vicenza;10;7;0;5;0
2020-03-11T08:00:00;Vicenza;Ospedale Noventa Vicentina;0;0;0;0;0
2020-03-11T08:00:00;Vicenza;Ospedale Arzignano;1;0;0;0;0
2020-03-11T08:00:00;Vicenza;Ospedale Valdagno;0;0;0;0;0
2020-03-11T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0;0
2020-03-11T08:00:00;Verona;Ospedale Legnago;5;3;0;0;0
2020-03-11T08:00:00;Verona;Ospedale San Bonifacio;0;0;0;0;0
2020-03-11T08:00:00;Verona;Ospedale Villafranca *;3;0;0;0;0
2020-03-11T08:00:00;Verona;Ospedale Marzana;0;0;0;0;0
2020-03-11T08:00:00;Verona;Ospedale Bussolengo;0;0;0;0;0
2020-03-11T08:00:00;Verona;Ospedale Bovolone;0;0;0;0;0
2020-03-11T08:00:00;Verona;Ospedale Malcesine;0;0;0;0;0
2020-03-11T08:00:00;Padova;IRCCS - IOV;0;0;0;0;0
2020-03-11T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;16;1;0;0;0
2020-03-11T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;0;1;0;0;0
2020-03-11T08:00:00;Treviso;Centro Servizi Civitas Vitae - Vedelago;0;0;0;0;0
2020-03-11T08:00:00;Treviso;Centro Servizi Casa Luigi e Augusta - Ormelle;0;0;0;0;0
2020-03-11T08:00:00;Venezia;Ospedale di Comunita' SS. Giovanni e Paolo;0;0;0;0;0
2020-03-11T08:00:00;Treviso;Ospedale di Comunita' Vittorio Veneto;0;0;0;0;0
2020-03-12T08:00:00;Padova;Azienda Ospedale Universita' di Padova;47;19;0;31;5
2020-03-12T08:00:00;Padova;Azienda Ospedale Universita' di Padova - Ospedale S. Antonio;0;0;0;0;0
2020-03-12T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;29;8;0;3;2
2020-03-12T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;0;1;0;0;0
2020-03-12T08:00:00;Belluno;Ospedale Belluno;10;2;0;0;0
2020-03-12T08:00:00;Belluno;Ospedale di Comunita' Belluno;0;0;0;0;0
2020-03-12T08:00:00;Belluno;Ospedale Feltre;1;0;0;0;0
2020-03-12T08:00:00;Belluno;Ospedale Agordo;0;0;0;0;0
2020-03-12T08:00:00;Treviso;Ospedale Treviso;88;6;0;5;14
2020-03-12T08:00:00;Treviso;Ospedale Oderzo;0;0;0;0;0
2020-03-12T08:00:00;Treviso;Ospedale Conegliano;13;8;0;0;0
2020-03-12T08:00:00;Treviso;Ospedale Vittorio Veneto *;6;0;0;0;0
2020-03-12T08:00:00;Treviso;Ospedale Castelfranco;4;0;0;0;1
2020-03-12T08:00:00;Treviso;Ospedale Montebelluna;1;0;0;0;0
2020-03-12T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;0;0;0;0;0
2020-03-12T08:00:00;Venezia;Ospedale Mestre;33;11;0;1;4
2020-03-12T08:00:00;Venezia;Ospedale Venezia;10;5;0;2;1
2020-03-12T08:00:00;Venezia;Ospedale Mirano;16;7;0;0;0
2020-03-12T08:00:00;Venezia;Ospedale Dolo *;2;0;0;0;0
2020-03-12T08:00:00;Venezia;Ospedale Chioggia;1;0;0;0;1
2020-03-12T08:00:00;Venezia;Ospedale Villa Salus-Mestre *;0;0;0;0;0
2020-03-12T08:00:00;Venezia;Casa di cura Policlinico San Marco Mestre;0;0;0;0;0
2020-03-12T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0;0
2020-03-12T08:00:00;Venezia;Ospedale Jesolo *;1;1;0;0;0
2020-03-12T08:00:00;Venezia;Ospedale Portogruaro;0;0;0;0;0
2020-03-12T08:00:00;Venezia;Casa di Cura Rizzola;0;0;0;0;0
2020-03-12T08:00:00;Venezia;Casa di Cura Rizzola OdC;0;0;0;0;0
2020-03-12T08:00:00;Rovigo;Ospedale Rovigo;5;1;0;3;0
2020-03-12T08:00:00;Rovigo;Ospedale Trecenta *;0;0;0;0;0
2020-03-12T08:00:00;Rovigo;Ospedale Adria;0;0;0;0;0
2020-03-12T08:00:00;Padova;Ospedale di Comunita' Camposampiero;0;0;0;0;0
2020-03-12T08:00:00;Vicenza;Ospedale di Comunita' Marostica;0;0;0;0;0
2020-03-12T08:00:00;Padova;Ospedale Schiavonia *;29;4;0;0;1
2020-03-12T08:00:00;Padova;Ospedale Piove di Sacco;6;1;0;0;0
2020-03-12T08:00:00;Padova;Ospedale Cittadella;8;0;0;0;1
2020-03-12T08:00:00;Padova;Ospedale Camposampiero;0;0;0;0;0
2020-03-12T08:00:00;Padova;Ospedale Conselve;0;0;0;0;0
2020-03-12T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0;0
2020-03-12T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0;0
2020-03-12T08:00:00;Vicenza;Ospedale Santorso *;9;0;0;4;0
2020-03-12T08:00:00;Vicenza;Ospedale Bassano;2;1;0;0;0
2020-03-12T08:00:00;Vicenza;Ospedale Asiago;0;0;0;0;0
2020-03-12T08:00:00;Vicenza;Ospedale Vicenza;11;8;0;6;0
2020-03-12T08:00:00;Vicenza;Ospedale Noventa Vicentina;0;0;0;0;0
2020-03-12T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0;0
2020-03-12T08:00:00;Vicenza;Ospedale Valdagno;0;0;0;0;0
2020-03-12T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0;0
2020-03-12T08:00:00;Verona;Ospedale Legnago;11;3;0;0;1
2020-03-12T08:00:00;Verona;Ospedale San Bonifacio;0;0;0;0;0
2020-03-12T08:00:00;Verona;Ospedale Villafranca *;3;0;0;0;0
2020-03-12T08:00:00;Verona;Ospedale Marzana;0;0;0;0;0
2020-03-12T08:00:00;Verona;Ospedale Bussolengo;0;0;0;0;0
2020-03-12T08:00:00;Verona;Ospedale Bovolone;0;0;0;0;0
2020-03-12T08:00:00;Verona;Ospedale Malcesine;0;0;0;0;0
2020-03-12T08:00:00;Padova;IRCCS - IOV;0;0;0;0;0
2020-03-12T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;14;1;0;0;0
2020-03-12T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;0;0;0;0;0
2020-03-12T08:00:00;Treviso;Centro Servizi Civitas Vitae - Vedelago;0;0;0;0;0
2020-03-12T08:00:00;Treviso;Centro Servizi Casa Luigi e Augusta - Ormelle;0;0;0;0;0
2020-03-12T08:00:00;Venezia;Ospedale di Comunita' SS. Giovanni e Paolo;0;0;0;0;0
2020-03-12T08:00:00;Treviso;Ospedale di Comunita' Vittorio Veneto;0;0;0;0;0
2020-03-13T08:00:00;Padova;Azienda Ospedale Universita' di Padova;48;22;0;36;5
2020-03-13T08:00:00;Padova;Azienda Ospedale Universita' di Padova - Ospedale S. Antonio;0;0;0;0;0
2020-03-13T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;34;9;0;4;2
2020-03-13T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;0;4;0;0;0
2020-03-13T08:00:00;Belluno;Ospedale Belluno;13;0;0;0;0
2020-03-13T08:00:00;Belluno;Ospedale di Comunita' Belluno;0;0;0;0;0
2020-03-13T08:00:00;Belluno;Ospedale Feltre;5;0;0;0;0
2020-03-13T08:00:00;Belluno;Ospedale Agordo;0;0;0;0;0
2020-03-13T08:00:00;Treviso;Ospedale Treviso;62;9;0;41;23
2020-03-13T08:00:00;Treviso;Ospedale Oderzo;0;0;0;0;0
2020-03-13T08:00:00;Treviso;Ospedale Conegliano;15;8;0;0;0
2020-03-13T08:00:00;Treviso;Ospedale Vittorio Veneto *;6;0;0;0;1
2020-03-13T08:00:00;Treviso;Ospedale Castelfranco;5;0;0;0;1
2020-03-13T08:00:00;Treviso;Ospedale Montebelluna;2;0;0;0;0
2020-03-13T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;0;0;0;0;0
2020-03-13T08:00:00;Venezia;Ospedale Mestre;26;13;0;3;4
2020-03-13T08:00:00;Venezia;Ospedale Venezia;9;5;0;0;1
2020-03-13T08:00:00;Venezia;Ospedale Mirano;7;9;0;0;0
2020-03-13T08:00:00;Venezia;Ospedale Dolo *;6;0;0;0;0
2020-03-13T08:00:00;Venezia;Ospedale Chioggia;1;1;0;0;1
2020-03-13T08:00:00;Venezia;Ospedale Villa Salus-Mestre *;0;0;0;0;0
2020-03-13T08:00:00;Venezia;Casa di cura Policlinico San Marco Mestre;0;0;0;0;0
2020-03-13T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0;0
2020-03-13T08:00:00;Venezia;Ospedale Jesolo *;8;3;0;0;0
2020-03-13T08:00:00;Venezia;Ospedale Portogruaro;0;0;0;0;0
2020-03-13T08:00:00;Venezia;Casa di Cura Rizzola;0;0;0;0;0
2020-03-13T08:00:00;Venezia;Casa di Cura Rizzola OdC;0;0;0;0;0
2020-03-13T08:00:00;Rovigo;Ospedale Rovigo;6;1;0;4;0
2020-03-13T08:00:00;Rovigo;Ospedale Trecenta *;0;0;0;0;0
2020-03-13T08:00:00;Rovigo;Ospedale Adria;0;0;0;0;0
2020-03-13T08:00:00;Padova;Ospedale di Comunita' Camposampiero;0;0;0;0;0
2020-03-13T08:00:00;Vicenza;Ospedale di Comunita' Marostica;0;0;0;0;0
2020-03-13T08:00:00;Padova;Ospedale Schiavonia *;40;5;0;0;1
2020-03-13T08:00:00;Padova;Ospedale Piove di Sacco;5;1;0;0;0
2020-03-13T08:00:00;Padova;Ospedale Cittadella;12;0;0;0;1
2020-03-13T08:00:00;Padova;Ospedale Camposampiero;0;0;0;0;0
2020-03-13T08:00:00;Padova;Ospedale Conselve;0;0;0;0;0
2020-03-13T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0;0
2020-03-13T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0;0
2020-03-13T08:00:00;Vicenza;Ospedale Santorso *;11;0;0;4;0
2020-03-13T08:00:00;Vicenza;Ospedale Bassano;3;0;0;0;0
2020-03-13T08:00:00;Vicenza;Ospedale Asiago;0;0;0;0;0
2020-03-13T08:00:00;Vicenza;Ospedale Vicenza;13;11;0;8;1
2020-03-13T08:00:00;Vicenza;Ospedale Noventa Vicentina;0;0;0;0;0
2020-03-13T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0;0
2020-03-13T08:00:00;Vicenza;Ospedale Valdagno;0;0;0;0;0
2020-03-13T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0;0
2020-03-13T08:00:00;Verona;Ospedale Legnago;7;3;0;0;1
2020-03-13T08:00:00;Verona;Ospedale San Bonifacio;0;0;0;0;0
2020-03-13T08:00:00;Verona;Ospedale Villafranca *;3;0;0;0;0
2020-03-13T08:00:00;Verona;Ospedale Marzana;0;0;0;0;0
2020-03-13T08:00:00;Verona;Ospedale Bussolengo;0;0;0;0;0
2020-03-13T08:00:00;Verona;Ospedale Bovolone;0;0;0;0;0
2020-03-13T08:00:00;Verona;Ospedale Malcesine;0;0;0;0;0
2020-03-13T08:00:00;Padova;IRCCS - IOV;0;0;0;0;0
2020-03-13T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;17;3;0;0;0
2020-03-13T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;2;0;0;0;0
2020-03-13T08:00:00;Treviso;Centro Servizi Civitas Vitae - Vedelago;0;0;0;0;0
2020-03-13T08:00:00;Treviso;Centro Servizi Casa Luigi e Augusta - Ormelle;0;0;0;0;0
2020-03-13T08:00:00;Venezia;Ospedale di Comunita' SS. Giovanni e Paolo;0;0;0;0;0
2020-03-13T08:00:00;Treviso;Ospedale di Comunita' Vittorio Veneto;0;0;0;0;0
2020-03-14T08:00:00;Padova;Azienda Ospedale Universita' di Padova;47;21;0;34;6
2020-03-14T08:00:00;Padova;Azienda Ospedale Universita' di Padova - Ospedale S. Antonio;0;0;0;0;0
2020-03-14T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;31;10;0;8;3
2020-03-14T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;0;2;0;0;0
2020-03-14T08:00:00;Belluno;Ospedale Belluno;13;0;0;2;1
2020-03-14T08:00:00;Belluno;Ospedale di Comunita' Belluno;0;0;0;0;0
2020-03-14T08:00:00;Belluno;Ospedale Feltre;5;0;0;0;0
2020-03-14T08:00:00;Belluno;Ospedale Agordo;0;0;0;0;0
2020-03-14T08:00:00;Treviso;Ospedale Treviso;56;13;0;40;26
2020-03-14T08:00:00;Treviso;Ospedale Oderzo;0;0;0;0;0
2020-03-14T08:00:00;Treviso;Ospedale Conegliano;5;10;0;0;1
2020-03-14T08:00:00;Treviso;Ospedale Vittorio Veneto *;2;0;0;0;1
2020-03-14T08:00:00;Treviso;Ospedale Castelfranco;5;0;0;0;1
2020-03-14T08:00:00;Treviso;Ospedale Montebelluna;0;0;0;0;0
2020-03-14T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;0;0;0;0;0
2020-03-14T08:00:00;Venezia;Ospedale Mestre;29;12;0;2;7
